pdf_page,image_index,file_path,width_px,height_px,bbox_on_page,page_side,guessed_media_type,source_pdf
1,1,images/p01_img01_xref1239.png,1480,1027,"-1.2,-1.2,1064.2,738.2",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
2,1,images/p02_img01_xref9.png,754,178,"523.1,614.0,1050.3,738.4",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
2,2,images/p02_img02_xref10.png,549,104,"524.5,665.7,908.4,738.4",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
4,1,images/p04_img01_xref21.png,1460,1027,"-1.1,-1.2,1049.9,738.2",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
5,1,images/p05_img01_xref26.png,1189,1027,"-1.0,-1.1,855.0,738.1",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
6,1,images/p06_img01_xref33.png,352,202,"524.9,61.6,778.1,206.5",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
6,2,images/p06_img02_xref35.png,293,493,"795.5,321.9,1006.3,676.7",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
6,3,images/p06_img03_xref37.png,731,457,"-1.0,-1.0,524.6,327.9",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
6,4,images/p06_img04_xref39.png,74,74,"418.0,489.0,470.8,541.8",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
6,5,images/p06_img05_xref41.png,109,109,"345.1,489.9,397.1,541.9",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
6,6,images/p06_img06_xref43.png,109,109,"271.1,489.7,323.2,541.8",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
6,7,images/p06_img07_xref45.png,297,145,"269.7,571.3,482.9,675.2",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
7,1,images/p07_img01_xref52.png,732,376,"523.3,415.9,1050.0,686.1",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
7,2,images/p07_img02_xref54.png,74,74,"418.7,448.6,471.5,501.5",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
7,3,images/p07_img03_xref56.png,109,109,"344.4,449.6,396.4,501.6",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
7,4,images/p07_img04_xref58.png,109,109,"271.0,449.4,323.1,501.5",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
7,5,images/p07_img05_xref60.png,732,285,"-1.1,61.5,525.4,266.1",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
7,6,images/p07_img06_xref62.png,296,199,"270.1,543.0,483.0,686.2",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
8,1,images/p08_img01_xref69.png,294,166,"795.1,61.3,1006.3,180.6",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
8,2,images/p08_img02_xref71.png,610,405,"567.4,398.6,1006.3,689.8",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
8,3,images/p08_img03_xref73.png,74,74,"419.4,458.4,472.2,511.3",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
8,4,images/p08_img04_xref75.png,109,109,"345.8,459.4,397.8,511.4",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
8,5,images/p08_img05_xref77.png,109,109,"271.0,459.2,323.1,511.3",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
